year,Harry Potter,Marvel,Others,Star Wars
2012,0.0,1.0,662.0,42.0
2013,0.0,1.0,679.0,41.0
2014,0.0,3.0,857.0,48.0
2015,0.0,3.0,807.0,69.0
2016,0.0,12.0,809.0,63.0
2017,0.0,6.0,821.0,64.0
2018,42.0,10.0,763.0,69.0
2019,9.0,3.0,878.0,57.0
2020,30.0,4.0,887.0,46.0
2021,18.0,29.0,1008.0,37.0
2022,15.0,18.0,710.0,38.0
